image_id,class_id,species,breed_id,official_split,species_name,breed_name
english_cocker_spaniel_112,13,2,7,trainval,dog,english_cocker_spaniel
havanese_123,17,2,11,trainval,dog,havanese
miniature_pinscher_144,22,2,15,trainval,dog,miniature_pinscher
newfoundland_128,23,2,16,trainval,dog,newfoundland
saint_bernard_108,29,2,19,trainval,dog,saint_bernard
Siamese_153,33,1,11,trainval,cat,Siamese
Russian_Blue_14,28,1,10,trainval,cat,Russian_Blue
german_shorthaired_135,15,2,9,trainval,dog,german_shorthaired
wheaten_terrier_186,36,2,24,trainval,dog,wheaten_terrier
english_setter_11,14,2,8,trainval,dog,english_setter
newfoundland_141,23,2,16,trainval,dog,newfoundland
saint_bernard_153,29,2,19,trainval,dog,saint_bernard
chihuahua_119,11,2,6,trainval,dog,chihuahua
shiba_inu_137,32,2,22,trainval,dog,shiba_inu
Bombay_100,8,1,4,trainval,cat,Bombay
Ragdoll_186,27,1,9,trainval,cat,Ragdoll
Sphynx_18,34,1,12,trainval,cat,Sphynx
Russian_Blue_106,28,1,10,trainval,cat,Russian_Blue
pug_181,26,2,18,trainval,dog,pug
scottish_terrier_112,31,2,21,trainval,dog,scottish_terrier
shiba_inu_106,32,2,22,trainval,dog,shiba_inu
Sphynx_177,34,1,12,trainval,cat,Sphynx
Siamese_169,33,1,11,trainval,cat,Siamese
american_bulldog_120,2,2,1,trainval,dog,american_bulldog
english_setter_186,14,2,8,trainval,dog,english_setter
Bengal_171,6,1,2,trainval,cat,Bengal
Bombay_109,8,1,4,trainval,cat,Bombay
pug_121,26,2,18,trainval,dog,pug
miniature_pinscher_129,22,2,15,trainval,dog,miniature_pinscher
boxer_101,9,2,5,trainval,dog,boxer
Maine_Coon_131,21,1,7,trainval,cat,Maine_Coon
american_pit_bull_terrier_158,3,2,2,trainval,dog,american_pit_bull_terrier
american_bulldog_167,2,2,1,trainval,dog,american_bulldog
Bengal_156,6,1,2,trainval,cat,Bengal
shiba_inu_123,32,2,22,trainval,dog,shiba_inu
Sphynx_171,34,1,12,trainval,cat,Sphynx
Abyssinian_145,1,1,1,trainval,cat,Abyssinian
great_pyrenees_180,16,2,10,trainval,dog,great_pyrenees
boxer_135,9,2,5,trainval,dog,boxer
great_pyrenees_13,16,2,10,trainval,dog,great_pyrenees
leonberger_174,20,2,14,trainval,dog,leonberger
great_pyrenees_101,16,2,10,trainval,dog,great_pyrenees
basset_hound_137,4,2,3,trainval,dog,basset_hound
beagle_120,5,2,4,trainval,dog,beagle
leonberger_159,20,2,14,trainval,dog,leonberger
boxer_104,9,2,5,trainval,dog,boxer
american_bulldog_198,2,2,1,trainval,dog,american_bulldog
Bengal_139,6,1,2,trainval,cat,Bengal
german_shorthaired_182,15,2,9,trainval,dog,german_shorthaired
leonberger_147,20,2,14,trainval,dog,leonberger
yorkshire_terrier_11,37,2,25,trainval,dog,yorkshire_terrier
american_bulldog_149,2,2,1,trainval,dog,american_bulldog
english_setter_153,14,2,8,trainval,dog,english_setter
beagle_167,5,2,4,trainval,dog,beagle
shiba_inu_191,32,2,22,trainval,dog,shiba_inu
keeshond_138,19,2,13,trainval,dog,keeshond
japanese_chin_152,18,2,12,trainval,dog,japanese_chin
samoyed_118,30,2,20,trainval,dog,samoyed
Russian_Blue_125,28,1,10,trainval,cat,Russian_Blue
staffordshire_bull_terrier_185,35,2,23,trainval,dog,staffordshire_bull_terrier
Birman_126,7,1,3,trainval,cat,Birman
Egyptian_Mau_172,12,1,6,trainval,cat,Egyptian_Mau
american_pit_bull_terrier_160,3,2,2,trainval,dog,american_pit_bull_terrier
yorkshire_terrier_169,37,2,25,trainval,dog,yorkshire_terrier
boxer_17,9,2,5,trainval,dog,boxer
beagle_166,5,2,4,trainval,dog,beagle
Russian_Blue_114,28,1,10,trainval,cat,Russian_Blue
shiba_inu_160,32,2,22,trainval,dog,shiba_inu
Siamese_160,33,1,11,trainval,cat,Siamese
keeshond_104,19,2,13,trainval,dog,keeshond
Egyptian_Mau_16,12,1,6,trainval,cat,Egyptian_Mau
Maine_Coon_158,21,1,7,trainval,cat,Maine_Coon
japanese_chin_137,18,2,12,trainval,dog,japanese_chin
samoyed_160,30,2,20,trainval,dog,samoyed
miniature_pinscher_100,22,2,15,trainval,dog,miniature_pinscher
scottish_terrier_176,31,2,21,trainval,dog,scottish_terrier
Russian_Blue_191,28,1,10,trainval,cat,Russian_Blue
english_setter_135,14,2,8,trainval,dog,english_setter
american_pit_bull_terrier_185,3,2,2,trainval,dog,american_pit_bull_terrier
keeshond_108,19,2,13,trainval,dog,keeshond
american_pit_bull_terrier_128,3,2,2,trainval,dog,american_pit_bull_terrier
staffordshire_bull_terrier_113,35,2,23,trainval,dog,staffordshire_bull_terrier
Persian_170,24,1,8,trainval,cat,Persian
german_shorthaired_154,15,2,9,trainval,dog,german_shorthaired
wheaten_terrier_110,36,2,24,trainval,dog,wheaten_terrier
Abyssinian_116,1,1,1,trainval,cat,Abyssinian
pug_14,26,2,18,trainval,dog,pug
leonberger_165,20,2,14,trainval,dog,leonberger
leonberger_179,20,2,14,trainval,dog,leonberger
beagle_190,5,2,4,trainval,dog,beagle
Persian_126,24,1,8,trainval,cat,Persian
japanese_chin_153,18,2,12,trainval,dog,japanese_chin
leonberger_16,20,2,14,trainval,dog,leonberger
Russian_Blue_109,28,1,10,trainval,cat,Russian_Blue
japanese_chin_140,18,2,12,trainval,dog,japanese_chin
miniature_pinscher_158,22,2,15,trainval,dog,miniature_pinscher
beagle_147,5,2,4,trainval,dog,beagle
Birman_134,7,1,3,trainval,cat,Birman
havanese_163,17,2,11,trainval,dog,havanese
Siamese_18,33,1,11,trainval,cat,Siamese
pomeranian_135,25,2,17,trainval,dog,pomeranian
beagle_101,5,2,4,trainval,dog,beagle
Siamese_154,33,1,11,trainval,cat,Siamese
basset_hound_165,4,2,3,trainval,dog,basset_hound
Russian_Blue_108,28,1,10,trainval,cat,Russian_Blue
leonberger_10,20,2,14,trainval,dog,leonberger
Birman_168,7,1,3,trainval,cat,Birman
Sphynx_137,34,1,12,trainval,cat,Sphynx
Birman_166,7,1,3,trainval,cat,Birman
boxer_117,9,2,5,trainval,dog,boxer
Siamese_147,33,1,11,trainval,cat,Siamese
Abyssinian_151,1,1,1,trainval,cat,Abyssinian
shiba_inu_122,32,2,22,trainval,dog,shiba_inu
Persian_188,24,1,8,trainval,cat,Persian
japanese_chin_177,18,2,12,trainval,dog,japanese_chin
pug_151,26,2,18,trainval,dog,pug
Bengal_183,6,1,2,trainval,cat,Bengal
english_cocker_spaniel_115,13,2,7,trainval,dog,english_cocker_spaniel
Sphynx_206,34,1,12,trainval,cat,Sphynx
Persian_160,24,1,8,trainval,cat,Persian
leonberger_170,20,2,14,trainval,dog,leonberger
english_cocker_spaniel_187,13,2,7,trainval,dog,english_cocker_spaniel
yorkshire_terrier_129,37,2,25,trainval,dog,yorkshire_terrier
yorkshire_terrier_122,37,2,25,trainval,dog,yorkshire_terrier
staffordshire_bull_terrier_104,35,2,23,trainval,dog,staffordshire_bull_terrier
Maine_Coon_154,21,1,7,trainval,cat,Maine_Coon
great_pyrenees_127,16,2,10,trainval,dog,great_pyrenees
german_shorthaired_105,15,2,9,trainval,dog,german_shorthaired
Sphynx_139,34,1,12,trainval,cat,Sphynx
staffordshire_bull_terrier_199,35,2,23,trainval,dog,staffordshire_bull_terrier
yorkshire_terrier_17,37,2,25,trainval,dog,yorkshire_terrier
saint_bernard_114,29,2,19,trainval,dog,saint_bernard
Persian_150,24,1,8,trainval,cat,Persian
great_pyrenees_138,16,2,10,trainval,dog,great_pyrenees
scottish_terrier_120,31,2,21,trainval,dog,scottish_terrier
leonberger_175,20,2,14,trainval,dog,leonberger
pomeranian_145,25,2,17,trainval,dog,pomeranian
pomeranian_167,25,2,17,trainval,dog,pomeranian
Bombay_191,8,1,4,trainval,cat,Bombay
pug_144,26,2,18,trainval,dog,pug
chihuahua_139,11,2,6,trainval,dog,chihuahua
saint_bernard_123,29,2,19,trainval,dog,saint_bernard
keeshond_153,19,2,13,trainval,dog,keeshond
Birman_100,7,1,3,trainval,cat,Birman
havanese_157,17,2,11,trainval,dog,havanese
english_cocker_spaniel_174,13,2,7,trainval,dog,english_cocker_spaniel
Maine_Coon_128,21,1,7,trainval,cat,Maine_Coon
pomeranian_189,25,2,17,trainval,dog,pomeranian
shiba_inu_128,32,2,22,trainval,dog,shiba_inu
beagle_128,5,2,4,trainval,dog,beagle
Abyssinian_108,1,1,1,trainval,cat,Abyssinian
boxer_166,9,2,5,trainval,dog,boxer
wheaten_terrier_145,36,2,24,trainval,dog,wheaten_terrier
wheaten_terrier_151,36,2,24,trainval,dog,wheaten_terrier
japanese_chin_167,18,2,12,trainval,dog,japanese_chin
Sphynx_182,34,1,12,trainval,cat,Sphynx
leonberger_173,20,2,14,trainval,dog,leonberger
pomeranian_17,25,2,17,trainval,dog,pomeranian
pomeranian_109,25,2,17,trainval,dog,pomeranian
american_bulldog_129,2,2,1,trainval,dog,american_bulldog
english_cocker_spaniel_118,13,2,7,trainval,dog,english_cocker_spaniel
miniature_pinscher_185,22,2,15,trainval,dog,miniature_pinscher
samoyed_136,30,2,20,trainval,dog,samoyed
staffordshire_bull_terrier_132,35,2,23,trainval,dog,staffordshire_bull_terrier
chihuahua_137,11,2,6,trainval,dog,chihuahua
pug_162,26,2,18,trainval,dog,pug
chihuahua_106,11,2,6,trainval,dog,chihuahua
Maine_Coon_119,21,1,7,trainval,cat,Maine_Coon
Maine_Coon_105,21,1,7,trainval,cat,Maine_Coon
german_shorthaired_14,15,2,9,trainval,dog,german_shorthaired
saint_bernard_184,29,2,19,trainval,dog,saint_bernard
basset_hound_181,4,2,3,trainval,dog,basset_hound
scottish_terrier_182,31,2,21,trainval,dog,scottish_terrier
Ragdoll_170,27,1,9,trainval,cat,Ragdoll
newfoundland_161,23,2,16,trainval,dog,newfoundland
japanese_chin_16,18,2,12,trainval,dog,japanese_chin
yorkshire_terrier_152,37,2,25,trainval,dog,yorkshire_terrier
scottish_terrier_149,31,2,21,trainval,dog,scottish_terrier
Abyssinian_184,1,1,1,trainval,cat,Abyssinian
beagle_175,5,2,4,trainval,dog,beagle
scottish_terrier_140,31,2,21,trainval,dog,scottish_terrier
miniature_pinscher_134,22,2,15,trainval,dog,miniature_pinscher
newfoundland_149,23,2,16,trainval,dog,newfoundland
keeshond_111,19,2,13,trainval,dog,keeshond
staffordshire_bull_terrier_118,35,2,23,trainval,dog,staffordshire_bull_terrier
Bengal_147,6,1,2,trainval,cat,Bengal
Siamese_104,33,1,11,trainval,cat,Siamese
keeshond_117,19,2,13,trainval,dog,keeshond
Birman_123,7,1,3,trainval,cat,Birman
scottish_terrier_142,31,2,21,trainval,dog,scottish_terrier
japanese_chin_100,18,2,12,trainval,dog,japanese_chin
german_shorthaired_106,15,2,9,trainval,dog,german_shorthaired
german_shorthaired_187,15,2,9,trainval,dog,german_shorthaired
Bengal_17,6,1,2,trainval,cat,Bengal
english_setter_151,14,2,8,trainval,dog,english_setter
Bombay_174,8,1,4,trainval,cat,Bombay
leonberger_100,20,2,14,trainval,dog,leonberger
Abyssinian_129,1,1,1,trainval,cat,Abyssinian
keeshond_120,19,2,13,trainval,dog,keeshond
yorkshire_terrier_14,37,2,25,trainval,dog,yorkshire_terrier
scottish_terrier_113,31,2,21,trainval,dog,scottish_terrier
Bengal_129,6,1,2,trainval,cat,Bengal
Ragdoll_131,27,1,9,trainval,cat,Ragdoll
Bengal_114,6,1,2,trainval,cat,Bengal
pomeranian_113,25,2,17,trainval,dog,pomeranian
english_setter_126,14,2,8,trainval,dog,english_setter
samoyed_188,30,2,20,trainval,dog,samoyed
pug_154,26,2,18,trainval,dog,pug
pug_192,26,2,18,trainval,dog,pug
scottish_terrier_169,31,2,21,trainval,dog,scottish_terrier
Ragdoll_136,27,1,9,trainval,cat,Ragdoll
havanese_119,17,2,11,trainval,dog,havanese
British_Shorthair_137,10,1,5,trainval,cat,British_Shorthair
yorkshire_terrier_132,37,2,25,trainval,dog,yorkshire_terrier
american_pit_bull_terrier_166,3,2,2,trainval,dog,american_pit_bull_terrier
japanese_chin_108,18,2,12,trainval,dog,japanese_chin
Maine_Coon_204,21,1,7,trainval,cat,Maine_Coon
leonberger_117,20,2,14,trainval,dog,leonberger
boxer_175,9,2,5,trainval,dog,boxer
wheaten_terrier_137,36,2,24,trainval,dog,wheaten_terrier
British_Shorthair_210,10,1,5,trainval,cat,British_Shorthair
beagle_192,5,2,4,trainval,dog,beagle
Siamese_144,33,1,11,trainval,cat,Siamese
Siamese_120,33,1,11,trainval,cat,Siamese
chihuahua_16,11,2,6,trainval,dog,chihuahua
Birman_177,7,1,3,trainval,cat,Birman
english_cocker_spaniel_132,13,2,7,trainval,dog,english_cocker_spaniel
miniature_pinscher_12,22,2,15,trainval,dog,miniature_pinscher
basset_hound_157,4,2,3,trainval,dog,basset_hound
British_Shorthair_114,10,1,5,trainval,cat,British_Shorthair
Russian_Blue_170,28,1,10,trainval,cat,Russian_Blue
scottish_terrier_162,31,2,21,trainval,dog,scottish_terrier
japanese_chin_180,18,2,12,trainval,dog,japanese_chin
great_pyrenees_14,16,2,10,trainval,dog,great_pyrenees
Maine_Coon_103,21,1,7,trainval,cat,Maine_Coon
Siamese_17,33,1,11,trainval,cat,Siamese
Egyptian_Mau_157,12,1,6,trainval,cat,Egyptian_Mau
german_shorthaired_124,15,2,9,trainval,dog,german_shorthaired
Abyssinian_190,1,1,1,trainval,cat,Abyssinian
boxer_140,9,2,5,trainval,dog,boxer
Egyptian_Mau_141,12,1,6,trainval,cat,Egyptian_Mau
scottish_terrier_180,31,2,21,trainval,dog,scottish_terrier
german_shorthaired_168,15,2,9,trainval,dog,german_shorthaired
Persian_172,24,1,8,trainval,cat,Persian
Egyptian_Mau_106,12,1,6,trainval,cat,Egyptian_Mau
samoyed_176,30,2,20,trainval,dog,samoyed
Birman_107,7,1,3,trainval,cat,Birman
chihuahua_174,11,2,6,trainval,dog,chihuahua
basset_hound_175,4,2,3,trainval,dog,basset_hound
Abyssinian_175,1,1,1,trainval,cat,Abyssinian
american_bulldog_197,2,2,1,trainval,dog,american_bulldog
British_Shorthair_167,10,1,5,trainval,cat,British_Shorthair
newfoundland_167,23,2,16,trainval,dog,newfoundland
pug_16,26,2,18,trainval,dog,pug
staffordshire_bull_terrier_18,35,2,23,trainval,dog,staffordshire_bull_terrier
samoyed_131,30,2,20,trainval,dog,samoyed
wheaten_terrier_133,36,2,24,trainval,dog,wheaten_terrier
pomeranian_155,25,2,17,trainval,dog,pomeranian
saint_bernard_164,29,2,19,trainval,dog,saint_bernard
yorkshire_terrier_160,37,2,25,trainval,dog,yorkshire_terrier
saint_bernard_118,29,2,19,trainval,dog,saint_bernard
Sphynx_200,34,1,12,trainval,cat,Sphynx
leonberger_157,20,2,14,trainval,dog,leonberger
wheaten_terrier_176,36,2,24,trainval,dog,wheaten_terrier
British_Shorthair_196,10,1,5,trainval,cat,British_Shorthair
boxer_105,9,2,5,trainval,dog,boxer
Persian_166,24,1,8,trainval,cat,Persian
Abyssinian_155,1,1,1,trainval,cat,Abyssinian
leonberger_113,20,2,14,trainval,dog,leonberger
american_bulldog_189,2,2,1,trainval,dog,american_bulldog
wheaten_terrier_16,36,2,24,trainval,dog,wheaten_terrier
beagle_109,5,2,4,trainval,dog,beagle
scottish_terrier_160,31,2,21,trainval,dog,scottish_terrier
Siamese_193,33,1,11,trainval,cat,Siamese
miniature_pinscher_136,22,2,15,trainval,dog,miniature_pinscher
japanese_chin_106,18,2,12,trainval,dog,japanese_chin
British_Shorthair_173,10,1,5,trainval,cat,British_Shorthair
Egyptian_Mau_161,12,1,6,trainval,cat,Egyptian_Mau
samoyed_108,30,2,20,trainval,dog,samoyed
Sphynx_110,34,1,12,trainval,cat,Sphynx
leonberger_125,20,2,14,trainval,dog,leonberger
Egyptian_Mau_122,12,1,6,trainval,cat,Egyptian_Mau
american_bulldog_152,2,2,1,trainval,dog,american_bulldog
great_pyrenees_12,16,2,10,trainval,dog,great_pyrenees
japanese_chin_165,18,2,12,trainval,dog,japanese_chin
Egyptian_Mau_194,12,1,6,trainval,cat,Egyptian_Mau
wheaten_terrier_121,36,2,24,trainval,dog,wheaten_terrier
samoyed_134,30,2,20,trainval,dog,samoyed
Abyssinian_14,1,1,1,trainval,cat,Abyssinian
Birman_127,7,1,3,trainval,cat,Birman
pomeranian_180,25,2,17,trainval,dog,pomeranian
Birman_162,7,1,3,trainval,cat,Birman
wheaten_terrier_104,36,2,24,trainval,dog,wheaten_terrier
pomeranian_164,25,2,17,trainval,dog,pomeranian
boxer_180,9,2,5,trainval,dog,boxer
yorkshire_terrier_178,37,2,25,trainval,dog,yorkshire_terrier
Sphynx_105,34,1,12,trainval,cat,Sphynx
Bengal_164,6,1,2,trainval,cat,Bengal
german_shorthaired_175,15,2,9,trainval,dog,german_shorthaired
japanese_chin_130,18,2,12,trainval,dog,japanese_chin
pug_155,26,2,18,trainval,dog,pug
saint_bernard_162,29,2,19,trainval,dog,saint_bernard
Bengal_155,6,1,2,trainval,cat,Bengal
Bombay_14,8,1,4,trainval,cat,Bombay
beagle_114,5,2,4,trainval,dog,beagle
Abyssinian_118,1,1,1,trainval,cat,Abyssinian
boxer_156,9,2,5,trainval,dog,boxer
Ragdoll_149,27,1,9,trainval,cat,Ragdoll
basset_hound_10,4,2,3,trainval,dog,basset_hound
keeshond_163,19,2,13,trainval,dog,keeshond
chihuahua_135,11,2,6,trainval,dog,chihuahua
Persian_120,24,1,8,trainval,cat,Persian
chihuahua_182,11,2,6,trainval,dog,chihuahua
great_pyrenees_117,16,2,10,trainval,dog,great_pyrenees
Birman_173,7,1,3,trainval,cat,Birman
keeshond_109,19,2,13,trainval,dog,keeshond
basset_hound_131,4,2,3,trainval,dog,basset_hound
Birman_129,7,1,3,trainval,cat,Birman
great_pyrenees_162,16,2,10,trainval,dog,great_pyrenees
wheaten_terrier_141,36,2,24,trainval,dog,wheaten_terrier
japanese_chin_186,18,2,12,trainval,dog,japanese_chin
yorkshire_terrier_139,37,2,25,trainval,dog,yorkshire_terrier
Abyssinian_139,1,1,1,trainval,cat,Abyssinian
Russian_Blue_102,28,1,10,trainval,cat,Russian_Blue
Birman_109,7,1,3,trainval,cat,Birman
havanese_101,17,2,11,trainval,dog,havanese
german_shorthaired_125,15,2,9,trainval,dog,german_shorthaired
boxer_144,9,2,5,trainval,dog,boxer
Russian_Blue_110,28,1,10,trainval,cat,Russian_Blue
pug_104,26,2,18,trainval,dog,pug
Sphynx_164,34,1,12,trainval,cat,Sphynx
Russian_Blue_186,28,1,10,trainval,cat,Russian_Blue
english_setter_173,14,2,8,trainval,dog,english_setter
samoyed_162,30,2,20,trainval,dog,samoyed
British_Shorthair_161,10,1,5,trainval,cat,British_Shorthair
Russian_Blue_155,28,1,10,trainval,cat,Russian_Blue
Maine_Coon_175,21,1,7,trainval,cat,Maine_Coon
leonberger_182,20,2,14,trainval,dog,leonberger
boxer_106,9,2,5,trainval,dog,boxer
chihuahua_160,11,2,6,trainval,dog,chihuahua
staffordshire_bull_terrier_101,35,2,23,trainval,dog,staffordshire_bull_terrier
saint_bernard_139,29,2,19,trainval,dog,saint_bernard
miniature_pinscher_182,22,2,15,trainval,dog,miniature_pinscher
beagle_179,5,2,4,trainval,dog,beagle
english_setter_13,14,2,8,trainval,dog,english_setter
leonberger_161,20,2,14,trainval,dog,leonberger
great_pyrenees_124,16,2,10,trainval,dog,great_pyrenees
Abyssinian_178,1,1,1,trainval,cat,Abyssinian
Egyptian_Mau_144,12,1,6,trainval,cat,Egyptian_Mau
British_Shorthair_179,10,1,5,trainval,cat,British_Shorthair
pug_160,26,2,18,trainval,dog,pug
scottish_terrier_139,31,2,21,trainval,dog,scottish_terrier
yorkshire_terrier_117,37,2,25,trainval,dog,yorkshire_terrier
havanese_162,17,2,11,trainval,dog,havanese
leonberger_143,20,2,14,trainval,dog,leonberger
staffordshire_bull_terrier_145,35,2,23,trainval,dog,staffordshire_bull_terrier
newfoundland_145,23,2,16,trainval,dog,newfoundland
Maine_Coon_116,21,1,7,trainval,cat,Maine_Coon
staffordshire_bull_terrier_150,35,2,23,trainval,dog,staffordshire_bull_terrier
beagle_10,5,2,4,trainval,dog,beagle
Egyptian_Mau_18,12,1,6,trainval,cat,Egyptian_Mau
British_Shorthair_190,10,1,5,trainval,cat,British_Shorthair
basset_hound_160,4,2,3,trainval,dog,basset_hound
american_pit_bull_terrier_170,3,2,2,trainval,dog,american_pit_bull_terrier
Siamese_188,33,1,11,trainval,cat,Siamese
american_bulldog_108,2,2,1,trainval,dog,american_bulldog
pug_131,26,2,18,trainval,dog,pug
leonberger_172,20,2,14,trainval,dog,leonberger
Persian_132,24,1,8,trainval,cat,Persian
Siamese_142,33,1,11,trainval,cat,Siamese
Abyssinian_106,1,1,1,trainval,cat,Abyssinian
english_setter_149,14,2,8,trainval,dog,english_setter
Russian_Blue_169,28,1,10,trainval,cat,Russian_Blue
Persian_169,24,1,8,trainval,cat,Persian
pug_156,26,2,18,trainval,dog,pug
Siamese_181,33,1,11,trainval,cat,Siamese
english_cocker_spaniel_134,13,2,7,trainval,dog,english_cocker_spaniel
Bengal_166,6,1,2,trainval,cat,Bengal
Ragdoll_154,27,1,9,trainval,cat,Ragdoll
wheaten_terrier_164,36,2,24,trainval,dog,wheaten_terrier
leonberger_156,20,2,14,trainval,dog,leonberger
shiba_inu_124,32,2,22,trainval,dog,shiba_inu
english_setter_132,14,2,8,trainval,dog,english_setter
samoyed_138,30,2,20,trainval,dog,samoyed
Bombay_117,8,1,4,trainval,cat,Bombay
Bombay_178,8,1,4,trainval,cat,Bombay
shiba_inu_156,32,2,22,trainval,dog,shiba_inu
yorkshire_terrier_166,37,2,25,trainval,dog,yorkshire_terrier
Russian_Blue_165,28,1,10,trainval,cat,Russian_Blue
Birman_171,7,1,3,trainval,cat,Birman
Maine_Coon_205,21,1,7,trainval,cat,Maine_Coon
wheaten_terrier_11,36,2,24,trainval,dog,wheaten_terrier
Bengal_144,6,1,2,trainval,cat,Bengal
Russian_Blue_117,28,1,10,trainval,cat,Russian_Blue
British_Shorthair_107,10,1,5,trainval,cat,British_Shorthair
japanese_chin_183,18,2,12,trainval,dog,japanese_chin
Siamese_182,33,1,11,trainval,cat,Siamese
leonberger_163,20,2,14,trainval,dog,leonberger
american_pit_bull_terrier_176,3,2,2,trainval,dog,american_pit_bull_terrier
miniature_pinscher_170,22,2,15,trainval,dog,miniature_pinscher
japanese_chin_133,18,2,12,trainval,dog,japanese_chin
Bengal_18,6,1,2,trainval,cat,Bengal
Birman_160,7,1,3,trainval,cat,Birman
japanese_chin_114,18,2,12,trainval,dog,japanese_chin
Bombay_120,8,1,4,trainval,cat,Bombay
english_cocker_spaniel_181,13,2,7,trainval,dog,english_cocker_spaniel
havanese_104,17,2,11,trainval,dog,havanese
staffordshire_bull_terrier_114,35,2,23,trainval,dog,staffordshire_bull_terrier
havanese_177,17,2,11,trainval,dog,havanese
beagle_158,5,2,4,trainval,dog,beagle
german_shorthaired_17,15,2,9,trainval,dog,german_shorthaired
pug_168,26,2,18,trainval,dog,pug
havanese_120,17,2,11,trainval,dog,havanese
keeshond_177,19,2,13,trainval,dog,keeshond
wheaten_terrier_119,36,2,24,trainval,dog,wheaten_terrier
miniature_pinscher_121,22,2,15,trainval,dog,miniature_pinscher
havanese_129,17,2,11,trainval,dog,havanese
Maine_Coon_207,21,1,7,trainval,cat,Maine_Coon
pug_102,26,2,18,trainval,dog,pug
keeshond_187,19,2,13,trainval,dog,keeshond
english_setter_160,14,2,8,trainval,dog,english_setter
Abyssinian_195,1,1,1,trainval,cat,Abyssinian
British_Shorthair_186,10,1,5,trainval,cat,British_Shorthair
saint_bernard_156,29,2,19,trainval,dog,saint_bernard
english_cocker_spaniel_106,13,2,7,trainval,dog,english_cocker_spaniel
chihuahua_10,11,2,6,trainval,dog,chihuahua
havanese_115,17,2,11,trainval,dog,havanese
yorkshire_terrier_142,37,2,25,trainval,dog,yorkshire_terrier
British_Shorthair_182,10,1,5,trainval,cat,British_Shorthair
Bengal_125,6,1,2,trainval,cat,Bengal
english_cocker_spaniel_18,13,2,7,trainval,dog,english_cocker_spaniel
Sphynx_193,34,1,12,trainval,cat,Sphynx
newfoundland_162,23,2,16,trainval,dog,newfoundland
newfoundland_13,23,2,16,trainval,dog,newfoundland
samoyed_154,30,2,20,trainval,dog,samoyed
Ragdoll_139,27,1,9,trainval,cat,Ragdoll
staffordshire_bull_terrier_154,35,2,23,trainval,dog,staffordshire_bull_terrier
British_Shorthair_154,10,1,5,trainval,cat,British_Shorthair
newfoundland_175,23,2,16,trainval,dog,newfoundland
great_pyrenees_121,16,2,10,trainval,dog,great_pyrenees
staffordshire_bull_terrier_151,35,2,23,trainval,dog,staffordshire_bull_terrier
Siamese_150,33,1,11,trainval,cat,Siamese
miniature_pinscher_178,22,2,15,trainval,dog,miniature_pinscher
